Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
2010,Both sexes,20.8,6.6,3.1,3.5,4.2,2.8,4.3
2011,Male,17.9,6.7,3.1,3.0,3.9,2.0,4.0
2011,Female,13.6,4.1,2.0,2.5,2.2,2.0,2.8
2011,Both sexes,15.8,5.3,2.5,2.7,3.3,2.0,3.4
2012,Male,15.5,6.6,2.9,3.0,3.4,2.2,3.8
2012,Female,11.9,4.2,1.9,2.5,2.3,1.4,2.8
2012,Both sexes,13.8,5.3,2.4,2.8,2.9,2.0,3.3
2013,Male,17.6,6.8,2.5,3.1,3.4,2.3,3.8
2013,Female,11.3,4.5,2.1,2.6,2.6,2.1,3.0
2013,Both sexes,14.5,5.6,2.3,2.9,3.1,2.3,3.4
2014,Male,13.3,6.4,2.4,2.8,3.1,3.1,3.6
2014,Female,11.8,4.5,2.0,2.7,2.8,2.3,3.0
2014,Both sexes,12.5,5.4,2.2,2.7,3.0,2.8,3.3
2015,Male,15.6,6.5,2.2,2.8,2.8,2.8,3.4
2015,Female,13.0,5.3,2.0,2.8,2.9,1.9,3.2
2015,Both sexes,14.3,5.9,2.1,2.8,2.8,2.5,3.3
2016,Male,15.8,6.9,2.6,2.9,3.2,2.3,3.7
2016,Female,11.5,5.0,2.0,2.8,2.8,2.0,3.1
2016,Both sexes,13.8,5.9,2.3,2.8,3.1,2.2,3.4
2017,Male,12.3,6.5,2.4,2.6,3.0,2.4,3.4
2017,Female,10.0,4.9,2.0,2.4,2.6,2.0,2.9
2017,Both sexes,11.1,5.7,2.2,2.5,2.9,2.3,3.1
2018,Male,11.4,6.5,2.3,2.5,2.8,2.1,3.2
2018,Female,9.2,4.5,1.7,2.0,2.1,1.6,2.4
2018,Both sexes,10.3,5.5,1.9,2.2,2.5,1.9,2.8
2019,Male,11.9,6.8,2.6,2.7,3.3,2.6,3.5
2019,Female,8.1,4.1,1.7,1.9,2.0,1.8,2.3
2019,Both sexes,10.1,5.4,2.1,2.3,2.7,2.3,2.9
2020,Male,22.7,11.7,5.1,5.5,7.2,5.6,6.9
2020,Female,15.2,8.1,3.5,3.9,4.6,4.2,4.7
2020,Both sexes,19.0,9.8,4.2,4.7,6.0,5.1,5.8
2021,Male,19.2,9.8,4.8,5.2,6.4,5.1,6.1
2021,Female,12.3,6.6,3.2,3.6,4.6,3.7,4.2
2021,Both sexes,15.6,8.1,3.9,4.3,5.5,4.6,5.2
8/1981 - 10/1981,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.7
9/1981 - 11/1981,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.5
10/1981 - 12/1981,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
11/1981 - 1/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
12/1981 - 2/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
1/1982 - 3/1982,Male,9.0,4.0,2.6,2.5,4.4,3.0,3.7
1/1982 - 3/1982,Female,4.7,2.5,1.8,2.2,1.9,[*7],2.5
1/1982 - 3/1982,Both sexes,7.0,3.4,2.4,2.4,3.7,2.5,3.3
2/1982 - 4/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.2
3/1982 - 5/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
4/1982 - 6/1982,Male,9.4,3.7,1.9,3.3,3.5,2.1,3.5
4/1982 - 6/1982,Female,7.3,2.9,1.9,1.0,1.3,[*7],2.7
4/1982 - 6/1982,Both sexes,8.4,3.4,1.9,2.6,2.9,1.8,3.2
5/1982 - 7/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.4
6/1982 - 8/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.8
7/1982 - 9/1982,Male,11.6,4.5,2.2,2.9,4.2,2.8,4.0
7/1982 - 9/1982,Female,10.1,4.1,2.6,2.7,1.5,[*7],3.9
7/1982 - 9/1982,Both sexes,10.9,4.3,2.3,2.9,3.4,2.4,4.0
8/1982 - 10/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.2
9/1982 - 11/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.3
10/1982 - 12/1982,Male,12.4,4.9,3.0,3.5,5.2,3.1,4.6
10/1982 - 12/1982,Female,8.7,3.6,2.1,1.5,1.6,[*7],3.2
10/1982 - 12/1982,Both sexes,10.7,4.3,2.7,2.9,4.3,2.4,4.1
11/1982 - 1/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.4
12/1982 - 2/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.5
1/1983 - 3/1983,Male,12.1,6.3,3.9,5.0,6.7,5.0,5.8
1/1983 - 3/1983,Female,9.8,3.3,3.9,2.9,2.3,2.0,3.8
1/1983 - 3/1983,Both sexes,11.0,5.0,3.9,4.4,5.5,4.0,5.1
2/1983 - 4/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,5.1
